ID_img,count_region,region_shape
3436.JPG,0.0,0.0
3437.JPG,0.0,0.0
3438.JPG,0.0,0.0
3439.JPG,0.0,0.0
3440.JPG,0.0,0.0
3441.JPG,0.0,0.0
3442.JPG,0.0,0.0
3443.JPG,0.0,0.0
3444.jpg,1.0,"['{""cx"":2259,""cy"":391,""r"":64}']"
3445.JPG,0.0,0.0
3446.JPG,0.0,0.0
3447.JPG,0.0,0.0
3448.JPG,0.0,0.0
3449.JPG,0.0,0.0
3450.JPG,0.0,0.0
3451.JPG,0.0,0.0
3452.JPG,0.0,0.0
3453.JPG,0.0,0.0
3454.JPG,0.0,0.0
3455.JPG,0.0,0.0
3456.JPG,0.0,0.0
3457.JPG,0.0,0.0
3458.JPG,0.0,0.0
3459.JPG,0.0,0.0
3460.JPG,0.0,0.0
3461.JPG,0.0,0.0
3462.JPG,0.0,0.0
3463.JPG,0.0,0.0
3464.JPG,0.0,0.0
3465.JPG,0.0,0.0
3466.JPG,0.0,0.0
3467.JPG,0.0,0.0
3468.JPG,0.0,0.0
3469.JPG,0.0,0.0
3470.JPG,0.0,0.0
3471.JPG,0.0,0.0
3472.JPG,0.0,0.0
3473.jpg,0.0,0.0
3474.JPG,0.0,0.0
3475.JPG,0.0,0.0
3476.JPG,0.0,0.0
3477.JPG,0.0,0.0
3478.JPG,0.0,0.0
3479.JPG,0.0,0.0
3480.JPG,0.0,0.0
3481.JPG,0.0,0.0
3482.JPG,0.0,0.0
3483.JPG,0.0,0.0
3484.JPG,0.0,0.0
3485.JPG,0.0,0.0
3486.JPG,0.0,0.0
3487.JPG,0.0,0.0
3488.JPG,0.0,0.0
3489.JPG,0.0,0.0
3490.JPG,0.0,0.0
3491.JPG,0.0,0.0
3492.JPG,0.0,0.0
3493.JPG,0.0,0.0
3494.JPG,0.0,0.0
3495.JPG,0.0,0.0
3496.JPG,0.0,0.0
3497.JPG,0.0,0.0
3498.JPG,0.0,0.0
3499.JPG,0.0,0.0
3500.JPG,0.0,0.0
3501.JPG,0.0,0.0
3502.JPG,0.0,0.0
3503.JPG,0.0,0.0
3504.JPG,0.0,0.0
3505.JPG,0.0,0.0
3506.JPG,0.0,0.0
3507.JPG,0.0,0.0
3508.JPG,0.0,0.0
3509.JPG,0.0,0.0
3510.JPG,0.0,0.0
3511.JPG,0.0,0.0
3512.JPG,0.0,0.0
3513.JPG,0.0,0.0
3514.JPG,0.0,0.0
3515.JPG,0.0,0.0
3516.JPG,0.0,0.0
3517.JPG,0.0,0.0
3518.JPG,0.0,0.0
3519.JPG,0.0,0.0
3520.JPG,0.0,0.0
3521.JPG,0.0,0.0
3522.JPG,0.0,0.0
3523.JPG,0.0,0.0
3524.JPG,0.0,0.0
3525.JPG,0.0,0.0
3526.JPG,0.0,0.0
3527.JPG,0.0,0.0
3528.JPG,0.0,0.0
3529.JPG,0.0,0.0
3530.JPG,0.0,0.0
3531.JPG,0.0,0.0
3532.JPG,0.0,0.0
3533.JPG,0.0,0.0
3534.JPG,0.0,0.0
3535.JPG,0.0,0.0
3536.JPG,0.0,0.0
3537.JPG,0.0,0.0
3538.JPG,0.0,0.0
3539.JPG,0.0,0.0
3540.JPG,0.0,0.0
3541.JPG,0.0,0.0
3542.JPG,0.0,0.0
3543.JPG,0.0,0.0
3544.JPG,0.0,0.0
