ID_img,region_shape
1.JPG,0
2.JPG,0
3.JPG,0
4.JPG,0
5.JPG,0
6.JPG,0
7.JPG,0
8.JPG,0
9.JPG,0
10.JPG,0
11.JPG,0
12.JPG,0
13.JPG,0
14.JPG,0
15.JPG,0
16.JPG,0
17.JPG,0
18.JPG,0
19.JPG,0
20.JPG,0
21.JPG,0
22.JPG,0
23.JPG,0
24.JPG,0
25.JPG,0
26.JPG,0
27.JPG,0
28.JPG,0
29.JPG,0
30.JPG,0
31.JPG,0
32.JPG,0
33.JPG,0
34.JPG,0
35.JPG,0
36.JPG,0
37.JPG,0
38.JPG,0
39.JPG,0
40.JPG,0
41.JPG,0
42.JPG,0
43.JPG,0
44.JPG,0
45.JPG,0
46.JPG,0
47.JPG,0
48.JPG,0
49.JPG,0
50.JPG,0
51.JPG,0
52.JPG,0
53.JPG,0
54.JPG,0
55.JPG,0
56.JPG,0
57.JPG,0
58.JPG,0
59.JPG,0
60.JPG,0
61.JPG,0
62.JPG,0
63.JPG,0
64.jpg,0
65.JPG,0
66.jpg,0
67.JPG,0
68.JPG,0
69.JPG,0
70.JPG,0
71.JPG,0
72.JPG,0
73.JPG,0
74.JPG,0
75.JPG,0
76.JPG,0
77.JPG,0
78.JPG,0
79.JPG,0
80.JPG,0
81.JPG,0
82.JPG,0
83.JPG,0
84.JPG,0
85.JPG,0
86.JPG,0
87.JPG,0
88.JPG,0
89.JPG,0
90.JPG,0
91.JPG,0
92.JPG,0
93.JPG,0
94.JPG,0
95.JPG,0
96.JPG,0
97.JPG,0
98.JPG,0
99.JPG,0
100.JPG,0
101.JPG,0
102.JPG,0
103.JPG,0
104.JPG,0
105.JPG,0
106.JPG,0
107.JPG,0
108.JPG,0
109.JPG,0
110.JPG,0
111.JPG,0
112.JPG,0
113.JPG,0
114.JPG,0
115.JPG,0
116.JPG,0
117.JPG,0
118.JPG,0
119.JPG,0
120.JPG,0
121.JPG,0
122.JPG,0
123.JPG,0
124.JPG,0
125.JPG,0
126.JPG,0
127.JPG,0
128.JPG,0
129.JPG,0
130.JPG,0
131.JPG,0
132.JPG,0
133.JPG,0
134.JPG,0
135.JPG,0
136.JPG,0
137.JPG,0
138.JPG,0
139.JPG,0
140.JPG,0
141.JPG,0
142.JPG,0
143.JPG,0
144.JPG,0
145.JPG,0
146.JPG,0
147.JPG,0
148.JPG,0
149.JPG,0
150.JPG,0
151.JPG,0
152.JPG,0
153.JPG,0
154.JPG,0
155.JPG,0
156.JPG,0
157.JPG,0
158.JPG,0
159.JPG,0
160.JPG,0
161.JPG,0
162.JPG,0
163.JPG,0
164.JPG,0
165.JPG,0
166.JPG,0
167.JPG,0
168.JPG,0
169.JPG,0
170.JPG,0
171.JPG,0
172.JPG,0
173.JPG,0
174.JPG,0
175.JPG,0
176.JPG,0
177.JPG,0
178.JPG,0
179.JPG,0
180.JPG,0
181.JPG,0
182.JPG,0
183.JPG,0
184.JPG,0
185.JPG,0
186.JPG,0
187.JPG,0
188.JPG,0
189.JPG,0
190.JPG,0
191.JPG,0
192.JPG,0
193.JPG,0
194.JPG,0
195.JPG,0
196.JPG,0
197.JPG,0
198.JPG,0
199.JPG,0
200.JPG,0
201.JPG,0
202.JPG,0
203.JPG,0
204.JPG,0
205.JPG,0
206.JPG,0
207.JPG,0
208.JPG,0
209.JPG,0
210.JPG,0
211.JPG,0
212.JPG,0
213.JPG,0
214.JPG,0
215.JPG,0
216.JPG,0
217.JPG,0
218.JPG,0
219.JPG,0
220.JPG,0
221.JPG,0
222.JPG,0
223.JPG,0
224.JPG,0
225.JPG,0
226.JPG,0
227.JPG,0
228.JPG,0
229.JPG,0
230.JPG,0
231.JPG,0
232.JPG,0
233.JPG,0
234.JPG,0
235.JPG,0
236.JPG,0
237.JPG,0
238.JPG,0
239.JPG,0
240.JPG,0
241.JPG,0
242.JPG,0
243.JPG,0
244.JPG,0
245.JPG,0
246.JPG,0
247.JPG,0
248.JPG,0
249.JPG,0
250.JPG,0
251.JPG,0
252.JPG,0
253.JPG,0
254.JPG,0
255.JPG,0
256.JPG,0
257.JPG,0
258.JPG,0
259.JPG,0
260.JPG,0
261.JPG,0
262.JPG,0
263.JPG,0
264.JPG,0
265.JPG,0
266.JPG,0
267.JPG,0
268.JPG,0
269.JPG,0
270.JPG,0
271.JPG,0
272.JPG,0
273.JPG,0
274.JPG,0
275.JPG,0
276.JPG,0
277.JPG,0
278.JPG,0
279.JPG,0
280.JPG,0
281.JPG,0
282.JPG,0
283.JPG,0
284.JPG,0
285.JPG,0
286.JPG,0
287.JPG,0
288.JPG,0
289.JPG,0
290.JPG,0
291.JPG,0
292.jpg,0
293.JPG,0
294.JPG,0
295.JPG,0
296.JPG,0
297.JPG,0
298.JPG,0
299.JPG,0
300.JPG,0
301.JPG,0
302.JPG,0
303.JPG,0
304.JPG,0
305.JPG,0
306.JPG,0
307.JPG,0
308.JPG,0
309.JPG,0
310.JPG,0
311.JPG,0
312.JPG,0
313.JPG,0
314.JPG,0
315.JPG,0
316.JPG,0
317.jpg,0
318.JPG,0
319.JPG,0
320.JPG,0
321.JPG,0
322.JPG,0
323.JPG,0
324.JPG,0
325.JPG,0
326.JPG,0
327.JPG,0
328.JPG,0
329.JPG,0
330.JPG,0
331.JPG,0
332.JPG,0
333.JPG,0
334.JPG,0
335.JPG,0
336.JPG,0
337.jpg,0
338.JPG,0
339.JPG,0
340.JPG,0
341.JPG,0
342.JPG,0
343.JPG,0
344.JPG,0
345.JPG,0
346.JPG,0
347.JPG,0
348.JPG,0
349.JPG,0
350.JPG,0
351.JPG,0
352.JPG,0
353.JPG,0
354.JPG,0
355.JPG,0
356.JPG,0
357.JPG,0
358.JPG,0
359.JPG,0
360.JPG,0
361.JPG,0
362.JPG,0
363.JPG,0
364.JPG,0
365.JPG,0
366.JPG,0
367.JPG,0
368.JPG,0
369.JPG,0
370.JPG,0
371.JPG,0
372.JPG,0
373.JPG,0
374.JPG,0
375.JPG,0
376.JPG,0
377.JPG,0
378.JPG,0
379.JPG,0
380.JPG,0
381.JPG,0
382.JPG,0
383.JPG,0
384.JPG,0
385.JPG,0
386.JPG,0
387.JPG,0
388.JPG,0
389.JPG,0
390.JPG,0
391.JPG,0
392.JPG,0
393.JPG,0
394.JPG,0
395.JPG,0
396.JPG,0
397.JPG,0
398.JPG,0
399.JPG,0
400.JPG,0
401.JPG,0
402.JPG,0
403.JPG,0
404.JPG,0
405.JPG,0
406.JPG,0
407.JPG,0
